TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
MOSI3;8,24;;32,29;1,56;1,46;89,47;6,23;14,75;76,45;36,94;-39,51;-0,81;4,76;1,91;-8,40;13,23;4,84;4,52;0,25;0,93;0,07;0,31;;;;5,27;0,26;;1.043.149.227,20
MOVI3;8,37;1,44;-67,83;1,00;0,14;32,22;18,17;-0,42;1,58;7,66;6,08;3,85;0,29;3,64;-0,18;1,21;-1,48;-0,21;11,00;0,14;0,86;0,49;31,22;;35.585.654,95;8,36;-0,12;0,64;3.032.468.459,82
MPLU3;26,80;;12,20;17,37;2,68;95,29;66,35;56,37;10,37;7,73;-2,64;-4,42;6,88;50,65;-23,58;1,06;142,40;21,94;100,98;0,15;0,85;0,39;-17,46;8,96;;1,54;2,20;-0,39;4.348.208.156,40
MRFG3;9,77;;-4,21;1,49;0,07;10,02;0,14;-1,59;47,64;215,87;168,23;5,25;0,07;0,94;-0,11;1,22;-35,29;-1,61;-0,53;0,05;0,80;1,02;66,77;;58.080.672,43;6,58;-2,32;0,03;9.105.640.000,00
MRSA3B;23,60;2,48;6,94;1,25;0,52;45,73;38,24;18,76;3,40;4,61;1,24;0,46;1,30;-51,86;-0,63;0,95;18,03;7,49;15,98;0,42;0,58;0,40;9,87;20,04;4.506,00;18,86;3,40;0,11;7.894.843.566,68
MRSA5B;23,06;2,79;6,78;1,22;0,51;45,73;38,24;18,76;3,33;4,61;1,24;0,46;1,27;-50,67;-0,61;0,95;18,03;7,49;15,98;0,42;0,58;0,40;9,87;20,04;5.565,00;18,86;3,40;0,10;7.894.843.566,68
MRSA6B;23,06;2,79;6,78;1,22;0,51;45,73;38,24;18,76;3,33;4,61;1,24;0,46;1,27;-50,67;-0,61;0,95;18,03;7,49;15,98;0,42;0,58;0,40;9,87;20,04;6.662,00;18,86;3,40;0,10;7.894.843.566,68
MRVE3;7,79;;-16,97;0,64;0,18;21,73;1,16;-3,61;52,83;136,65;83,82;1,01;0,61;0,82;-0,33;1,99;-3,76;-1,07;0,34;0,28;0,68;0,30;6,86;;199.542.354,19;12,19;-0,46;0,11;4.384.419.767,09
MSPA3;43,00;0,13;8,37;0,33;0,19;38,88;23,14;17,10;6,18;8,11;1,98;0,11;1,43;5,64;-0,21;1,56;3,94;2,30;4,10;0,58;0,42;0,13;6,46;-2,91;9.048,00;130,22;5,14;-0,04;273.092.295,00
MSPA4;40,00;0,15;7,79;0,31;0,18;38,88;23,14;17,10;5,75;8,11;1,98;0,11;1,33;5,25;-0,20;1,56;3,94;2,30;4,10;0,58;0,42;0,13;6,46;-2,91;9.000,00;130,22;5,14;-0,04;273.092.295,00
MSRO3;702,50;;1.828,65;249,03;67,48;39,77;27,14;6,34;427,07;430,25;3,18;1,85;115,93;-536,40;-86,38;0,63;13,62;3,69;15,50;0,27;0,73;0,58;8,72;92,10;;2,82;0,38;114,31;18.271.898.550,00
MTIG3;0,00;;0,00;0,00;0,00;-16,12;-64,07;-113,09;0,00;-1,28;-1,17;;0,00;0,00;0,00;0,27;-725,28;-74,53;-104,33;-0,10;1,10;0,66;-17,44;;;-0,06;-0,46;0,00;3.700.608,00
MTIG4;23,00;;-49,52;-359,15;36,91;-16,12;-64,07;-113,09;-87,41;-1,28;-1,17;;56,00;-50,93;-50,15;0,27;-725,28;-74,53;-104,33;-0,10;1,10;0,66;-17,44;;;-0,06;-0,46;-0,09;3.700.608,00
MTRE3;5,70;13,32;6,98;0,62;0,28;21,87;10,56;9,48;6,27;11,69;5,43;0,53;0,66;0,54;-1,64;2,65;8,85;3,98;4,62;0,45;0,53;0,42;69,15;;9.916.067,95;9,24;0,82;0,05;602.916.474,00
MTSA3;78,40;1,47;7,90;1,60;1,23;29,63;13,88;13,56;7,72;4,83;-1,40;-0,29;1,07;2,15;-5,55;3,77;20,20;15,55;15,32;0,77;0,23;1,15;27,16;46,00;7.900,00;49,09;9,92;1,32;556.330.260,00
MTSA4;49,39;2,56;4,98;1,01;0,77;29,63;13,88;13,56;4,86;4,83;-1,40;-0,29;0,68;1,35;-3,49;3,77;20,20;15,55;15,32;0,77;0,23;1,15;27,16;46,00;280.495,05;49,09;9,92;0,83;556.330.260,00
MULT3;25,99;3,83;16,32;2,26;1,44;92,65;74,87;48,73;10,62;11,92;1,30;0,28;7,95;97,83;-1,66;1,12;13,87;8,84;14,14;0,64;0,36;0,18;9,22;20,97;121.716.735,36;11,49;1,59;0,57;15.613.775.141,25
